,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,312671,0.1997195873654626,19.97195873654626,208784,0.13336143847210247,13.336143847210247
1,134703,0.08604196608220753,8.604196608220754,170444,0.1088716425537351,10.887164255373511
2,53278,0.034031490530484494,3.4031490530484496,114078,0.07286768228418128,7.286768228418127
3,199814,0.1276318226821245,12.76318226821245,399719,0.2553217719012488,25.532177190124877
4,56413,0.03603398166778449,3.6033981667784487,370773,0.23683242311008912,23.68324231100891
5,210703,0.1345872057743285,13.458720577432851,157864,0.10083612787838139,10.08361278783814
6,413983,0.26443294688767527,26.443294688767526,106144,0.06779981476158539,6.7799814761585395
7,154533,0.09870844112292805,9.870844112292804,13699,0.008750279454504807,0.8750279454504807
8,29452,0.018812557887004568,1.8812557887004568,24045,0.015358819584171696,1.5358819584171697
