,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,16246,0.010377183737344703,1.0377183737344702,292586,0.18689023027051196,18.689023027051196
1,9929,0.006342180064514069,0.6342180064514069,457351,0.2921343936635687,29.21343936635687
2,18302,0.011690460221647344,1.1690460221647345,303629,0.1939439813484079,19.39439813484079
3,103782,0.06629107981220657,6.629107981220657,94648,0.06045670850499824,6.045670850499825
4,480642,0.30701159336974226,30.701159336974225,17643,0.011269521893264347,1.1269521893264347
5,314930,0.20116253073999552,20.11625307399955,52491,0.03352879179840951,3.3528791798409507
6,45112,0.028815432276196862,2.8815432276196864,272384,0.1739861390565616,17.39861390565616
7,440536,0.2813937593816869,28.139375938168694,5181,0.0033093800900641946,0.33093800900641945
8,136071,0.08691578039666571,8.691578039666572,69637,0.044480853374213536,4.448085337421354
